timescale,width,source,probe,window,n_draws,rhat,ess_mean,ess_min,ess_bulk_az,ess_tail_az,drift_z_max,ess_per_1e6_grad
T_phys=0.5 (T=100000),1.0,samples,f_dist,last 50%,2500,0.9998478260658006,2.87087375547263,2.87037891352326,6.087000995633899,29.833060286175083,3.2139035271836565,28.720225644984293
T_phys=0.5 (T=100000),1.0,samples,f_dist,last 25%,1250,0.9998280980524852,2.872057632854851,2.8714476886198677,6.09079870133987,29.85243410248126,3.3638676220109427,57.48714237099382
T_phys=0.5 (T=100000),1.0,samples,dist_to_ref_sq_over_d,full,5000,0.9999063025015226,3.5315136478539495,3.5295511971883684,6.079914968021592,29.80234551534352,2.632470976075937,17.66110045936162
T_phys=0.5 (T=100000),1.0,samples,dist_to_ref_sq_over_d,last 50%,2500,0.9998478260658007,2.8708737554738164,2.870378913524451,6.087000995633899,29.833060286175083,3.2139035271836565,28.720225644996162
T_phys=0.5 (T=100000),1.0,samples,dist_to_ref_sq_over_d,last 25%,1250,0.9998280980524851,2.8720576328629592,2.871447688628,6.09079870133987,29.85243410248126,3.3638676220109427,57.48714237115611
T_phys=0.5 (T=100000),1.0,samples,dist_to_ref_over_sqrt_d,full,5000,0.99990331889629,3.5613512511158887,3.5596042282113727,6.079914968021592,29.80234551534352,3.9013987040748646,17.810318319243294
T_phys=0.5 (T=100000),1.0,samples,dist_to_ref_over_sqrt_d,last 50%,2500,0.9998467327439498,2.875986751166922,2.8751947394588586,6.087000995633899,29.833060286175083,3.6706041353317764,28.77137606209406
T_phys=0.5 (T=100000),1.0,samples,dist_to_ref_over_sqrt_d,last 25%,1250,0.9998292095367739,2.8733286203467094,2.8726496968899915,6.09079870133987,29.85243410248126,3.5597749726709758,57.51258247291252
T_phys=0.5 (T=100000),1.0,samples,dist_to_ref_over_ou_radius,full,5000,0.9999033188962901,3.5613512511160215,3.5596042282115095,6.079914968021592,29.80234551534352,3.9013987040748654,17.810318319243958
T_phys=0.5 (T=100000),1.0,samples,dist_to_ref_over_ou_radius,last 50%,2500,0.9998467327439498,2.875986751167984,2.875194739459917,6.087000995633899,29.833060286175083,3.670604135331775,28.771376062104682
T_phys=0.5 (T=100000),1.0,samples,dist_to_ref_over_ou_radius,last 25%,1250,0.9998292095367738,2.873328620356184,2.872649696899481,6.09079870133987,29.85243410248126,3.559774972670979,57.512582473102164
T_phys=0.5 (T=100000),1.0,iter_rhat,nll_probe_mean,full_aligned,25001,1.001064543902677,,,,,,
T_phys=0.5 (T=100000),1.0,iter_rhat,U_train,full_aligned,25001,1.0000667675920627,,,,,,
T_phys=0.5 (T=100000),1.0,iter_rhat,grad_norm,full_aligned,25001,1.1005432992272772,,,,,,
T_phys=0.5 (T=100000),1.0,iter_rhat,f_nll,full_aligned,25001,1.001064543902677,,,,,,
T_phys=0.5 (T=100000),1.0,iter_rhat,f_margin,full_aligned,25001,1.0004202015073376,,,,,,
T_phys=0.5 (T=100000),1.0,iter_rhat,dist_to_ref,full_aligned,25001,0.9999833231956424,,,,,,
T_phys=0.5 (T=100000),1.0,iter_rhat,dist_to_ref_over_sqrt_d,full_aligned,25001,0.9999833231956424,,,,,,
T_phys=0.5 (T=100000),4.0,samples,f_nll,full,5000,1.0004297035654588,4.582700333916761,4.535445134915578,5.823524432666058,16.363645575004995,18.66617734923891,22.918085286641134
T_phys=0.5 (T=100000),4.0,samples,f_nll,last 50%,2500,1.0941145814031292,3.00156729505775,2.777326006668358,5.489075677396655,8.024317163160399,5.991593978324735,30.027684024187174
T_phys=0.5 (T=100000),4.0,samples,f_nll,last 25%,1250,1.3451442659330826,4.561207215499701,3.229749204521138,5.726233544791902,7.826194451556714,4.424856568463247,91.29718205563854
T_phys=0.5 (T=100000),4.0,samples,f_margin,full,5000,1.000279041063692,7.112880344472326,7.0160847544787925,5.750665981913316,9.646395157145584,30.921841766154532,35.571516025566744
T_phys=0.5 (T=100000),4.0,samples,f_margin,last 50%,2500,1.2265505815994844,3.787989357025454,2.8547948258162936,5.622601528648554,4.574219991736605,5.667937997097941,37.895051590890894
T_phys=0.5 (T=100000),4.0,samples,f_margin,last 25%,1250,2.1555812274845167,6.537513620932329,5.688163035581192,6.0998207764893095,7.496071313965924,1.6280633324306766,130.8549563837536
T_phys=0.5 (T=100000),4.0,samples,f_dist,full,5000,0.9999010121058655,3.5315219563103635,3.531436542526612,6.08012872177979,29.80672695397527,2.628793122758528,17.661142009953807
T_phys=0.5 (T=100000),4.0,samples,f_dist,last 50%,2500,0.9998073816448189,2.8708115948751978,2.8707190903769444,6.088337922493903,29.84692896048517,3.2032106232809907,28.719603790268085
