row_kind,group,chain_run,criterion,tau_geom,tau_pred,delta_tau,frac_finite_pred,frac_finite_geom,tau_geom_mean,tau_geom_std,tau_pred_mean,tau_pred_std,delta_tau_mean,delta_tau_std,n_chains,n_finite_pred,rhat_aligned,window_kind,window_len_saves,n_chains_used,step_first_mean,step_last_mean,window_rhat,drift_z_mean,drift_z_max,ess_bulk,ess_tail,t_analysis_phys,grad_evals_span,ess_per_t_analysis,ess_per_1e6_grad
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain3,geom_d0p1_f_margin_le_m0p2,21090,21090,0,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,geom_d0p1_f_margin_le_m0p3,,,,1.0,1.0,21088.25,10.404326023342406,21088.25,10.404326023342406,0.0,0.0,4,4,,,,,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain0,geom_d0p1_f_margin_le_m0p3,21090,21090,0,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain1,geom_d0p1_f_margin_le_m0p3,21074,21074,0,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain2,geom_d0p1_f_margin_le_m0p3,21099,21099,0,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain3,geom_d0p1_f_margin_le_m0p3,21090,21090,0,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,geom_d0p1_f_margin_le_m0p38,,,,1.0,1.0,21088.25,10.404326023342406,30165.0,9399.62059518007,9076.75,9392.155818376667,4,4,,,,,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain0,geom_d0p1_f_margin_le_m0p38,21090,28141,7051,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain1,geom_d0p1_f_margin_le_m0p38,21074,24776,3702,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain2,geom_d0p1_f_margin_le_m0p38,21099,43982,22883,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain3,geom_d0p1_f_margin_le_m0p38,21090,23761,2671,,,,,,,,,,,,,,,,,,,,,,,,,
rhat,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_geom_d0p05_nll_ge_1p45_f_nll,,,,,,,,,,,,4,,1.063304624626798,,,,,,,,,,,,,,
rhat,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_geom_d0p05_nll_ge_1p55_f_nll,,,,,,,,,,,,4,,1.063304624626798,,,,,,,,,,,,,,
rhat,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_geom_d0p05_nll_ge_1p7_f_nll,,,,,,,,,,,,4,,1.063304624626798,,,,,,,,,,,,,,
rhat,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_geom_d0p05_f_margin_le_m0p2_f_nll,,,,,,,,,,,,4,,1.063304624626798,,,,,,,,,,,,,,
rhat,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_geom_d0p05_f_margin_le_m0p3_f_nll,,,,,,,,,,,,4,,1.066623596247971,,,,,,,,,,,,,,
rhat,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_geom_d0p05_f_margin_le_m0p38_f_nll,,,,,,,,,,,,4,,1.5117861201058822,,,,,,,,,,,,,,
rhat,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_geom_d0p1_nll_ge_1p45_f_nll,,,,,,,,,,,,4,,1.0871987054787386,,,,,,,,,,,,,,
rhat,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_geom_d0p1_nll_ge_1p55_f_nll,,,,,,,,,,,,4,,1.0871987054787386,,,,,,,,,,,,,,
rhat,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_geom_d0p1_nll_ge_1p7_f_nll,,,,,,,,,,,,4,,1.0871987054787386,,,,,,,,,,,,,,
rhat,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_geom_d0p1_f_margin_le_m0p2_f_nll,,,,,,,,,,,,4,,1.0871987054787386,,,,,,,,,,,,,,
rhat,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_geom_d0p1_f_margin_le_m0p3_f_nll,,,,,,,,,,,,4,,1.0871987054787386,,,,,,,,,,,,,,
rhat,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_geom_d0p1_f_margin_le_m0p38_f_nll,,,,,,,,,,,,4,,1.4863596973360482,,,,,,,,,,,,,,
window_summary,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,,,,,,,,,,,,,,,,post_geom_d0p05,0,4,10275.0,99995.0,1.063304624626798,4.581411337152409,4.974695335930518,5.498732268700961,11.070252709966061,0.44860000000000005,179440.0,12.257539609230854,30.643849023077134
window_summary,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step1600,,,,,,,,,,,,,,,,,post_pred_nll1p45_given_geom_d0p05,0,4,10275.0,99995.0,1.063304624626798,4.581411337152409,4.974695335930518,5.498732268700961,11.070252709966061,0.44860000000000005,179440.0,12.257539609230854,30.643849023077134
